Bandit,Reward,Algorithm
3,1.4397168502793036,ThompsonSamplingBandit
3,4.77442608734799,ThompsonSamplingBandit
3,5.357074975765301,ThompsonSamplingBandit
3,4.275439831947074,ThompsonSamplingBandit
3,5.636689163162176,ThompsonSamplingBandit
3,3.398679104434456,ThompsonSamplingBandit
3,4.48570390894802,ThompsonSamplingBandit
3,3.4819314783538093,ThompsonSamplingBandit
3,5.139988796040844,ThompsonSamplingBandit
3,3.466826288880169,ThompsonSamplingBandit
3,4.102492937334156,ThompsonSamplingBandit
3,5.418832981542524,ThompsonSamplingBandit
3,3.2310111030931656,ThompsonSamplingBandit
3,4.148105707569277,ThompsonSamplingBandit
3,2.381238666266685,ThompsonSamplingBandit
3,5.649191651444065,ThompsonSamplingBandit
3,3.1185693735633553,ThompsonSamplingBandit
3,4.888974048337148,ThompsonSamplingBandit
3,2.6025817519999856,ThompsonSamplingBandit
3,5.2226823894742855,ThompsonSamplingBandit
3,3.6734752328938227,ThompsonSamplingBandit
3,4.397965881814461,ThompsonSamplingBandit
3,2.65038537210137,ThompsonSamplingBandit
3,4.035531624072306,ThompsonSamplingBandit
3,5.02359541961814,ThompsonSamplingBandit
3,3.3454727956571872,ThompsonSamplingBandit
3,5.349484864778706,ThompsonSamplingBandit
3,3.8462229607056715,ThompsonSamplingBandit
3,3.768845143623312,ThompsonSamplingBandit
3,4.218343596069883,ThompsonSamplingBandit
3,4.514597414521975,ThompsonSamplingBandit
3,3.9364917123911174,ThompsonSamplingBandit
3,6.06704097038921,ThompsonSamplingBandit
3,4.826001734594143,ThompsonSamplingBandit
3,6.047566876808904,ThompsonSamplingBandit
3,4.471009165010306,ThompsonSamplingBandit
3,4.373296733792892,ThompsonSamplingBandit
3,4.170041390587348,ThompsonSamplingBandit
3,5.54816363001649,ThompsonSamplingBandit
3,2.4132488453738317,ThompsonSamplingBandit
3,4.430551861650196,ThompsonSamplingBandit
3,3.946286843416178,ThompsonSamplingBandit
3,4.41231227477366,ThompsonSamplingBandit
3,4.4956154529559065,ThompsonSamplingBandit
3,4.2293202958424585,ThompsonSamplingBandit
3,5.583943817468059,ThompsonSamplingBandit
3,2.155122244310631,ThompsonSamplingBandit
3,2.4082995624473584,ThompsonSamplingBandit
3,4.208565873352558,ThompsonSamplingBandit
3,5.604806408469256,ThompsonSamplingBandit
3,3.9949461724384077,ThompsonSamplingBandit
3,5.543014358011574,ThompsonSamplingBandit
3,4.726653062687703,ThompsonSamplingBandit
3,3.517683327200653,ThompsonSamplingBandit
3,3.8131687532418903,ThompsonSamplingBandit
3,3.036301995265548,ThompsonSamplingBandit
3,5.6189143163690884,ThompsonSamplingBandit
3,3.894089700061609,ThompsonSamplingBandit
3,4.8583705463568885,ThompsonSamplingBandit
3,3.5660698844210716,ThompsonSamplingBandit
3,3.7218487869386943,ThompsonSamplingBandit
3,1.8300123061030198,ThompsonSamplingBandit
3,3.9062095740988885,ThompsonSamplingBandit
3,5.015722339224506,ThompsonSamplingBandit
3,3.601111362959246,ThompsonSamplingBandit
3,4.475058615148608,ThompsonSamplingBandit
3,5.210515480585205,ThompsonSamplingBandit
3,3.2174565736304426,ThompsonSamplingBandit
3,4.780575278400553,ThompsonSamplingBandit
3,3.9083824762932875,ThompsonSamplingBandit
3,4.068138560205848,ThompsonSamplingBandit
3,5.264447768364409,ThompsonSamplingBandit
3,5.71523019769856,ThompsonSamplingBandit
3,5.438239899355419,ThompsonSamplingBandit
3,3.7708338891164774,ThompsonSamplingBandit
3,3.6603364057858125,ThompsonSamplingBandit
3,5.2563386790312805,ThompsonSamplingBandit
3,3.944582443227223,ThompsonSamplingBandit
3,2.044745310621336,ThompsonSamplingBandit
3,3.2326207040553907,ThompsonSamplingBandit
3,3.553377653172276,ThompsonSamplingBandit
3,2.6401006286077275,ThompsonSamplingBandit
3,4.767039365325318,ThompsonSamplingBandit
3,3.2159550141941597,ThompsonSamplingBandit
3,4.13347193351193,ThompsonSamplingBandit
3,2.955233886511751,ThompsonSamplingBandit
3,3.4655921486582026,ThompsonSamplingBandit
3,4.445178365948197,ThompsonSamplingBandit
3,5.376551972528114,ThompsonSamplingBandit
3,3.170481628143812,ThompsonSamplingBandit
3,4.86242049585578,ThompsonSamplingBandit
3,3.5962840994462084,ThompsonSamplingBandit
3,3.4773613554999847,ThompsonSamplingBandit
3,2.1613725782882396,ThompsonSamplingBandit
3,5.033934605064939,ThompsonSamplingBandit
3,4.356212115163152,ThompsonSamplingBandit
3,4.955627835864391,ThompsonSamplingBandit
3,3.9929983562721585,ThompsonSamplingBandit
3,3.997384697502629,ThompsonSamplingBandit
3,3.7197487943456053,ThompsonSamplingBandit
3,4.574833117753803,ThompsonSamplingBandit
3,4.647057822506705,ThompsonSamplingBandit
3,4.616687817846853,ThompsonSamplingBandit
3,2.9603701916946763,ThompsonSamplingBandit
3,2.9077283334437247,ThompsonSamplingBandit
3,3.211432299569191,ThompsonSamplingBandit
3,3.899897147395274,ThompsonSamplingBandit
3,4.354760785766791,ThompsonSamplingBandit
3,3.44026892114089,ThompsonSamplingBandit
3,3.769191019484538,ThompsonSamplingBandit
3,4.2589631194614705,ThompsonSamplingBandit
3,4.109671232523425,ThompsonSamplingBandit
3,3.769853466507572,ThompsonSamplingBandit
3,4.2330877219863075,ThompsonSamplingBandit
3,2.0727069592438054,ThompsonSamplingBandit
3,4.518019118189548,ThompsonSamplingBandit
3,2.049043069736192,ThompsonSamplingBandit
3,4.628344251258801,ThompsonSamplingBandit
3,3.17555922027584,ThompsonSamplingBandit
3,4.706577073832336,ThompsonSamplingBandit
3,3.827725140257915,ThompsonSamplingBandit
3,4.368651586743104,ThompsonSamplingBandit
3,4.871210670049348,ThompsonSamplingBandit
3,3.5871788822832755,ThompsonSamplingBandit
3,1.3264935295017741,ThompsonSamplingBandit
3,4.5589278714050705,ThompsonSamplingBandit
3,2.818290714086438,ThompsonSamplingBandit
3,3.000796761018787,ThompsonSamplingBandit
3,4.568088366430814,ThompsonSamplingBandit
3,4.9059541377282025,ThompsonSamplingBandit
3,5.547587661767105,ThompsonSamplingBandit
3,3.47150934845755,ThompsonSamplingBandit
3,2.567751571464343,ThompsonSamplingBandit
3,4.346775445297116,ThompsonSamplingBandit
3,5.24500218174362,ThompsonSamplingBandit
3,5.961352075993079,ThompsonSamplingBandit
3,3.9163224055830024,ThompsonSamplingBandit
3,3.8785986113011615,ThompsonSamplingBandit
